rubrics_id  rubrics_number  mitt_number  page_number | observer_id  observer_alias - comment | frequency
448  752  88  281  |  109   Mascari, Ricco - r=Ricco | 1
448  752  88  281  |  109   Mascari, Ricco - r | 2

449  638  78  311  |  101   Catania 1 -  Ricco -  Mascari - Mascari | 32
449  638  78  311  |  101   Catania 1 -  Ricco -  Mascari - Zona | 17

450  800  91  12  |  56   Wolfer - * | 20
450  800  91  12  |  56   Wolfer - uncertain | 2

451  801  91  14  |  104   Broger - * | 41
451  801  91  14  |  104   Broger - uncertain | 8
451  801  91  14  |  117   Broger - * | 41
451  801  91  14  |  117   Broger - uncertain | 8

452  802  91  15  |  69   Winkler - uncertain | 4
452  802  91  15  |  69   Winkler - * | 1

454  757  89  296  |  56   Wolfer - * = Wolfer P | 1
454  757  89  296  |  56   Wolfer - * | 30

456  758  89  297  |  104   Broger - uncertain | 8
456  758  89  297  |  104   Broger - * = Broger-P | 1
456  758  89  297  |  104   Broger - * | 32

458  806  91  18  |  106   Mascari - uncertain | 1

460  759  89  298  |  69   Winkler - uncertain | 1

462  809  91  21  |  111   Lewitzky - S | 83
462  809  91  21  |  111   Lewitzky - P | 5
462  809  91  21  |  111   Lewitzky - B | 10
462  809  91  21  |  111   Lewitzky - * | 15
462  809  91  21  |  84   Lewitzky - S | 83
462  809  91  21  |  84   Lewitzky - P | 5
462  809  91  21  |  84   Lewitzky - B | 10
462  809  91  21  |  84   Lewitzky - * | 15

464  761  89  302  |  77   Quimby - * = Quimby P | 1
464  761  89  302  |  77   Quimby - * | 23

467  811  91  22  |  113   Kleiner - 0.0? | 1
467  811  91  22  |  113   Kleiner - date? | 3

473  820  92  37  |  56   Wolfer - * | 19

477  821  92  38  |  117   Broger - * | 48
477  821  92  38  |  117   Broger - uncertain | 5

479  767  89  306  |  118   Sykora, Jastremsky - * = Jastremsky | 1
479  767  89  306  |  118   Sykora, Jastremsky - * | 11

483  825  92  41  |  77   Quimby - * | 29

484  768  89  307  |  119   Sykora-N - * = second instrument | 1
484  768  89  307  |  119   Sykora-N - * | 14

485  826  92  42  |  106   Mascari - uncertain | 2

487  769  89  307  |  106   Mascari - uncertain | 6

488  828  92  44  |  107   Konkoly - P | 12

491  643  80  382  |  122   Wolfer, Mooser  - Wolfer-P | 7
491  643  80  382  |  122   Wolfer, Mooser  - Mooser | 40
491  643  80  382  |  122   Wolfer, Mooser  - uncertain | 1

504  843  93  64  |  56   Wolfer - * | 11

509  844  93  65  |  104   Broger - uncertain | 3
509  844  93  65  |  104   Broger - * | 23

511  845  93  66  |  69   Winkler - * | 2

513  847  93  68  |  77   Quimby - * | 14

515  849  93  70  |  106   Mascari - m | 24
515  849  93  70  |  106   Mascari - r | 2
515  849  93  70  |  106   Mascari - m? | 2

520  853  93  73  |  111   Lewitzky - S | 28
520  853  93  73  |  111   Lewitzky - B | 3

527  865  93  107  |  56   Wolfer - * | 13

528  777  90  324  |  56   Wolfer - * = Wolfer P | 1
528  777  90  324  |  56   Wolfer - * | 8
